Conference	2008	2009	2010	2011	2012
265	122	160	120	220	136
266	103	39	0	0	0
267	77	75	0	0	0
268	246	0	230	0	0
269	149	52	36	106	154
270	90	129	114	75	0
271	128	252	185	130	99
272	140	89	189	197	302
273	49	159	102	104	141
274	30	23	44	40	53
275	169	81	165	177	0
276	58	66	77	56	39
277	16	18	46	70	56
278	76	0	0	0	112
279	55	34	23	159	192
280	18	21	16	26	5
281	60	73	28	54	53
282	35	47	42	30	57
283	64	91	73	69	0
284	82	95	61	109	138
285	13	0	0	0	116
286	191	205	141	195	231
287	69	0	65	61	23
288	47	40	72	91	89
289	33	62	89	120	39
290	451	264	0	0	0
291	45	48	53	47	51
292	100	63	75	122	88
293	72	121	133	140	164
294	192	52	179	122	41
295	206	0	0	0	0
296	187	0	65	249	167
297	90	60	52	135	83
298	66	40	23	53	23
299	199	0	0	0	0
300	107	120	202	78	83
301	170	0	101	0	103
302	202	0	0	0	0
303	280	206	145	102	69
304	153	0	0	0	0
305	348	395	0	0	0
306	52	156	229	117	203
307	74	0	0	0	0
308	115	0	0	0	111
309	49	89	95	81	83
310	162	150	196	119	0
311	117	67	96	73	126
312	39	37	38	39	83
313	75	86	71	78	298
314	174	0	0	0	0
315	35	17	54	7	24
316	235	333	109	102	28
317	824	0	0	0	0
318	28	33	15	47	43
319	793	0	0	0	0
320	165	139	143	0	0
321	54	300	313	122	189
322	63	0	88	0	112
323	162	0	0	0	0
324	79	73	90	80	111
325	230	0	0	0	317
326	69	90	74	69	73
327	269	355	180	0	0
328	206	0	0	0	0
329	83	79	63	143	79
330	202	0	172	0	0
331	178	0	0	0	0
332	94	203	108	125	123
333	101	151	96	98	90
334	132	121	90	97	99
335	63	48	58	68	66
336	142	0	0	0	0
337	38	155	170	252	62
338	92	98	122	96	97
339	130	0	0	0	0
340	70	70	0	0	0
341	57	45	88	71	67
342	102	123	216	104	144
343	71	10	28	22	79
344	47	54	26	35	48
345	36	34	35	62	0
346	39	36	93	146	41
347	42	47	0	65	0
348	69	46	53	45	48
349	118	0	0	0	0
350	196	232	207	204	10
351	268	127	268	322	0
352	34	29	104	31	105
353	54	57	85	0	84
354	96	158	50	0	0
355	55	90	87	77	0
356	78	67	128	46	50
357	252	0	198	0	193
358	50	125	93	74	38
359	63	91	61	79	101
360	10	0	45	25	13
361	63	90	40	24	43
362	216	297	270	0	0
363	66	61	66	58	112
364	321	413	196	0	0
365	55	129	107	58	80
366	54	44	0	0	0
367	28	45	37	51	59
368	195	159	202	126	171
369	282	106	115	174	219
370	105	0	0	0	0
371	130	0	123	0	117
372	172	0	62	0	0
373	243	332	237	0	138
374	71	59	56	57	50
375	125	42	25	0	41
376	268	71	77	0	118
377	26	57	81	127	80
378	167	0	177	0	245
379	103	133	120	111	169
380	56	101	86	116	101
381	54	99	38	108	93
382	223	63	0	0	0
383	27	32	30	36	26
384	36	20	13	25	10
385	85	112	59	93	66
386	62	69	48	80	122
387	53	55	156	150	0
388	50	55	0	0	0
389	28	0	14	0	49
390	153	232	213	0	217
391	221	0	223	0	0
392	120	115	140	180	127
393	210	0	0	0	0
394	279	0	68	0	0
395	267	373	0	0	0
396	216	0	237	0	254
397	125	57	68	95	115
398	87	67	157	113	124
399	57	93	73	142	110
400	38	103	114	196	116
401	38	68	55	0	77
402	46	70	0	0	0
403	37	47	38	55	53
404	207	0	0	0	0
405	201	0	239	288	125
406	127	0	0	0	0
407	15	46	64	39	25
408	76	69	58	0	28
409	54	112	60	0	41
410	117	0	37	0	0
411	354	218	208	69	88
412	292	181	110	0	0
413	100	0	0	0	0
414	171	0	0	0	0
415	37	59	65	25	0
416	122	291	158	95	155
417	144	157	185	129	137
418	110	92	75	105	68
419	80	72	97	148	132
420	67	36	41	114	111
421	21	23	7	78	7
422	79	81	182	135	81
423	116	81	67	144	124
424	35	32	37	41	48
425	39	55	27	38	60
426	84	76	65	0	0
427	82	0	36	0	62
428	285	0	0	0	0
429	97	119	76	0	0
430	120	0	230	0	147
431	161	164	325	136	167
432	150	115	111	102	160
433	36	44	15	11	3
434	206	0	0	0	0
435	190	0	209	0	0
436	19	23	52	29	50
437	108	106	105	89	160
438	41	76	39	74	153
439	103	0	0	0	0
440	126	177	93	0	0
441	177	0	0	0	0
442	270	0	0	0	0
443	244	0	230	0	0
444	180	105	70	97	98
445	138	133	98	71	140
446	30	36	34	30	23
447	114	0	0	0	0
448	55	54	42	0	0
449	257	0	101	0	0
450	74	148	82	160	158
451	190	203	211	154	60
452	92	68	109	86	109
453	69	75	88	47	53
454	38	80	61	91	122
455	24	145	0	0	0
456	101	0	0	0	0
457	97	68	68	77	75
458	97	167	254	123	0
459	80	0	0	0	0
460	45	42	36	53	59
461	34	0	68	0	65
462	3	18	30	12	12
463	29	24	19	86	41
464	262	146	201	158	0
465	81	98	56	114	91
466	266	71	165	68	116
467	183	105	64	180	138
468	48	91	57	130	78
469	59	70	0	116	61
470	58	140	59	271	87
471	20	31	45	0	18
472	110	151	128	157	142
473	77	78	204	99	92
474	47	17	70	26	95
475	23	28	27	11	0
476	68	48	110	40	76
477	53	93	132	107	133
478	212	0	0	0	0
479	75	26	49	153	68
480	157	60	140	89	132
481	31	7	5	126	49
482	104	166	67	86	147
483	125	0	0	0	109
484	50	82	39	263	52
485	193	0	0	0	0
486	89	110	105	144	98
487	220	295	0	116	21
488	57	200	224	0	0
489	39	53	57	28	53
490	237	118	0	0	0
491	187	0	0	0	0
492	144	75	128	176	126
493	170	110	85	32	79
494	36	0	0	0	46
495	120	30	146	241	40
496	56	52	54	49	66
497	82	90	77	44	89
498	138	69	131	75	118
499	60	48	68	81	94
500	81	41	80	35	91
501	54	40	29	25	39
502	83	123	44	89	52
503	132	303	190	160	0
504	53	84	57	94	76
505	26	21	22	22	46
506	60	85	106	118	163
507	172	80	105	62	118
508	195	144	112	131	117
509	42	67	51	57	31
510	257	0	0	0	0
511	76	76	82	70	206
512	62	107	70	124	139
513	182	70	33	9	35
514	41	67	72	74	23
